,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2018-02-05,93.51,96.77,92.9,94.9,15.8166666666667,1764927,0.0,1.0
2018-02-02,94.55,98.62,89.9,93.63,15.605,2782696,0.0,1.0
2018-02-01,84.95,88.27,84.3,87.26,14.5433333333333,988969,0.0,1.0
2018-01-31,87.19,87.88,84.77,85.71,14.285,818120,0.0,1.0
2018-01-30,88.14,88.77,86.22,87.23,14.5383333333333,619018,0.0,1.0
2018-01-29,88.93,89.77,88.29,88.38,14.73,395614,0.0,1.0
2018-01-26,88.59,89.27,87.59,88.44,14.74,382517,0.0,1.0
2018-01-25,87.15,88.25,86.22,87.9,14.65,519115,0.0,1.0
2018-01-24,88.41,88.62,86.41,86.58,14.43,767742,0.0,1.0
2018-01-23,86.3,88.43,85.73,88.07,14.6783333333333,957456,0.0,1.0
2018-01-22,85.25,86.54,85.0,86.31,14.385,927224,0.0,1.0
2018-01-19,83.42,85.74,83.38,85.39,14.2316666666667,1239933,0.0,1.0
2018-01-18,83.15,84.11,82.96,83.53,13.9216666666667,633102,0.0,1.0
2018-01-17,83.8,84.19,83.0,83.45,13.9083333333333,477144,0.0,1.0
2018-01-16,83.27,83.91,81.74,82.25,13.7083333333333,444169,0.0,1.0
2018-01-12,81.88,83.1,81.43,82.95,13.825,281267,0.0,1.0
2018-01-11,80.68,81.82,80.1,81.7,13.6166666666667,221857,0.0,1.0
2018-01-10,79.7,80.96,79.6,80.59,13.4316666666667,388295,0.0,1.0
2018-01-09,80.83,81.47,79.9,80.0,13.3333333333333,529715,0.0,1.0
2018-01-08,79.72,81.84,78.94,80.97,13.495,537799,0.0,1.0
2018-01-05,79.13,79.29,78.08,78.96,13.16,366192,0.0,1.0
2018-01-04,79.35,79.36,77.95,78.96,13.16,443056,0.0,1.0
2018-01-03,80.0,80.44,78.85,79.35,13.225,512130,0.0,1.0
2018-01-02,79.13,80.69,77.92,80.25,13.375,518941,0.0,1.0
2017-12-29,80.37,80.96,80.09,80.25,13.375,307941,0.0,1.0
2017-12-28,80.07,80.95,79.92,80.06,13.3433333333333,147546,0.0,1.0
2017-12-27,79.89,80.59,79.46,79.88,13.3133333333333,256232,0.0,1.0
2017-12-26,79.43,80.44,79.2,79.8,13.3,301545,0.0,1.0
2017-12-22,78.67,79.49,78.36,79.26,13.21,317067,0.0,1.0
2017-12-21,79.63,79.63,78.73,79.21,13.2016666666667,265341,0.0,1.0
2017-12-20,79.71,79.71,78.29,79.02,13.17,371930,0.0,1.0
2017-12-19,78.34,80.75,77.97,79.28,13.2133333333333,846053,0.0,1.0
2017-12-18,76.73,77.5,76.34,77.12,12.8533333333333,366291,0.0,1.0
2017-12-15,74.4,76.52,74.4,75.98,12.6633333333333,785286,0.0,1.0
2017-12-14,78.4,78.77,73.93,74.15,12.3583333333333,1296616,0.0,1.0
2017-12-13,76.92,78.71,76.92,78.35,13.0583333333333,892854,0.0,1.0
2017-12-12,77.37,78.06,76.86,77.13,12.855,974828,0.0,1.0
2017-12-11,77.64,77.7,75.83,77.04,12.84,413810,0.0,1.0
