,MDXG_Open,MDXG_High,MDXG_Low,MDXG_Close,MDXG_Adj Close,MDXG_Volume,MDXG_Dividend Amount,MDXG_Split Coefficient
2010-09-16,1.15,1.15,1.03,1.03,1.03,33000,0.0,1.0
2010-09-15,1.09,1.15,1.07,1.14,1.14,144200,0.0,1.0
2010-09-14,1.07,1.1,1.07,1.09,1.09,96500,0.0,1.0
2010-09-13,1.04,1.04,1.04,1.04,1.04,23500,0.0,1.0
2010-09-10,1.05,1.05,1.04,1.04,1.04,1200,0.0,1.0
2010-09-09,1.01,1.01,1.01,1.01,1.01,300,0.0,1.0
2010-09-08,1.01,1.01,1.0,1.0,1.0,21900,0.0,1.0
2010-09-07,1.01,1.05,1.01,1.05,1.05,5300,0.0,1.0
2010-09-03,0.98,1.07,0.98,1.07,1.07,29200,0.0,1.0
2010-09-02,1.0,1.01,0.98,1.01,1.01,22300,0.0,1.0
2010-09-01,1.0,1.04,1.0,1.01,1.01,15300,0.0,1.0
2010-08-31,1.0,1.0,0.98,1.0,1.0,6100,0.0,1.0
2010-08-30,1.015,1.025,0.99,0.99,0.99,7800,0.0,1.0
2010-08-27,0.98,1.015,0.93,1.015,1.015,8000,0.0,1.0
2010-08-26,1.02,1.03,0.88,0.995,0.995,45300,0.0,1.0
2010-08-25,1.08,1.1,1.08,1.09,1.09,12000,0.0,1.0
2010-08-24,1.02,1.04,1.02,1.04,1.04,5000,0.0,1.0
2010-08-23,1.1,1.1,1.1,1.1,1.1,0,0.0,1.0
2010-08-20,1.15,1.15,1.1,1.1,1.1,39600,0.0,1.0
2010-08-19,1.11,1.24,1.11,1.15,1.15,24200,0.0,1.0
2010-08-18,1.11,1.11,1.11,1.11,1.11,200,0.0,1.0
2010-08-17,1.1,1.1,1.1,1.1,1.1,2000,0.0,1.0
2010-08-16,1.09,1.09,1.09,1.09,1.09,2100,0.0,1.0
2010-08-13,1.09,1.09,1.09,1.09,1.09,0,0.0,1.0
2010-08-12,1.09,1.09,1.09,1.09,1.09,0,0.0,1.0
2010-08-11,1.09,1.09,1.09,1.09,1.09,200,0.0,1.0
2010-08-10,1.09,1.1,1.09,1.09,1.09,21400,0.0,1.0
2010-08-09,1.05,1.08,1.05,1.08,1.08,10900,0.0,1.0
2010-08-06,1.05,1.08,1.02,1.08,1.08,5000,0.0,1.0
2010-08-05,1.09,1.09,1.09,1.09,1.09,0,0.0,1.0
2010-08-04,1.09,1.09,1.06,1.09,1.09,8600,0.0,1.0
2010-08-03,1.02,1.02,0.97,1.02,1.02,73500,0.0,1.0
2010-08-02,1.01,1.09,1.01,1.01,1.01,1200,0.0,1.0
2010-07-30,1.02,1.05,1.02,1.05,1.05,6000,0.0,1.0
2010-07-29,1.1,1.1,1.0,1.0,1.0,26300,0.0,1.0
2010-07-28,1.05,1.09,1.05,1.09,1.09,5800,0.0,1.0
2010-07-27,1.1,1.1,1.05,1.05,1.05,6900,0.0,1.0
2010-07-26,1.25,1.29,1.0,1.05,1.05,86700,0.0,1.0
2010-07-23,1.43,1.47,1.25,1.25,1.25,23900,0.0,1.0
2010-07-22,1.28,1.43,1.28,1.43,1.43,30500,0.0,1.0
2010-07-21,1.33,1.33,1.26,1.28,1.28,13100,0.0,1.0
2010-07-20,1.4,1.45,1.35,1.35,1.35,18000,0.0,1.0
2010-07-19,1.44,1.45,1.4,1.45,1.45,11800,0.0,1.0
2010-07-16,1.5,1.5,1.3,1.48,1.48,20200,0.0,1.0
2010-07-15,1.3,1.47,1.25,1.45,1.45,35500,0.0,1.0
2010-07-14,1.2,1.37,1.2,1.37,1.37,22500,0.0,1.0
2010-07-13,1.21,1.21,1.21,1.21,1.21,24000,0.0,1.0
2010-07-12,1.18,1.21,1.17,1.2,1.2,19400,0.0,1.0
2010-07-09,1.18,1.18,1.18,1.18,1.18,500,0.0,1.0
2010-07-08,1.1,1.15,1.09,1.15,1.15,19500,0.0,1.0
2010-07-07,1.1,1.1,1.07,1.1,1.1,14900,0.0,1.0
2010-07-06,1.07,1.11,1.07,1.1,1.1,49500,0.0,1.0
2010-07-02,1.05,1.05,1.0,1.05,1.05,22400,0.0,1.0
2010-07-01,1.125,1.125,1.05,1.05,1.05,38800,0.0,1.0
2010-06-30,1.05,1.05,1.05,1.05,1.05,2000,0.0,1.0
2010-06-29,1.02,1.05,1.02,1.05,1.05,600,0.0,1.0
2010-06-28,1.07,1.07,1.07,1.07,1.07,0,0.0,1.0
2010-06-25,1.1,1.1,1.05,1.07,1.07,10000,0.0,1.0
2010-06-24,1.11,1.11,1.05,1.1,1.1,10900,0.0,1.0
2010-06-23,1.12,1.12,1.1,1.1,1.1,8800,0.0,1.0
