,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2017-11-13,481.91,485.92,478.54,484.12,424.889140382268,428148,0.0,1.0
2017-11-10,484.24,485.07,480.92,482.21,423.2128240596,271249,0.0,1.0
2017-11-09,491.73,493.91,483.69,484.86,425.538603250736,243470,0.0,1.0
2017-11-08,486.94,495.345,486.94,492.98,432.665141753389,429240,0.0,1.0
2017-11-07,492.86,493.8,483.02,488.06,428.347091330599,469263,0.0,1.0
2017-11-06,484.99,493.093,484.99,491.62,431.471534319447,397390,0.0,1.0
2017-11-03,485.87,489.92,482.66,486.65,427.10960127041,464702,0.0,1.0
2017-11-02,481.0,491.8,476.4,488.68,428.891235896073,864566,0.0,1.0
2017-11-01,464.97,467.74,463.52,467.06,409.916388306499,426760,0.0,1.0
2017-10-31,458.36,464.48,457.31,463.5,406.791945317651,351360,0.0,1.0
2017-10-30,456.32,461.79,455.18,459.73,403.483195298562,245290,0.0,1.0
2017-10-27,454.57,457.19,453.05,456.51,400.6571541682,327238,0.0,1.0
2017-10-26,460.32,462.71,453.27,454.2,398.629776835549,468614,0.0,1.0
2017-10-25,462.75,466.49,457.325,457.93,401.90342075364,478259,0.0,1.0
2017-10-24,461.37,464.48,460.59,462.97,406.326789479424,289879,0.0,1.0
2017-10-23,469.43,469.43,458.2,458.81,402.675754975602,484395,0.0,1.0
2017-10-20,472.71,472.71,466.47,468.76,411.408397598926,319301,0.0,1.0
2017-10-19,470.7,472.41,469.46,470.55,412.979395618599,369089,0.0,1.0
2017-10-18,464.05,471.62,458.0,471.23,413.57619933557,404500,0.0,1.0
2017-10-17,460.41,462.8,458.59,461.58,405.106852469733,277964,0.0,1.0
2017-10-16,463.61,465.92,460.14,461.35,404.904992388993,220528,0.0,1.0
2017-10-13,467.29,467.29,460.825,462.82,406.19514160068,250232,0.0,1.0
2017-10-12,458.38,468.22,458.38,464.7,407.8451283476,438747,0.0,1.0
2017-10-11,453.65,461.28,453.57,458.97,402.816179379595,391779,0.0,1.0
2017-10-10,453.19,457.29,451.51,451.89,396.602399502898,257156,0.0,1.0
2017-10-09,448.96,452.46,447.98,451.32,396.102137563673,207818,0.0,1.0
2017-10-06,443.81,449.95,440.305,448.83,393.916782776529,381411,0.0,1.0
2017-10-05,445.16,448.145,443.19,445.42,390.923987666425,319311,0.0,1.0
2017-10-04,442.35,444.08,439.54,442.97,388.77373898028,223511,0.0,1.0
2017-10-03,443.93,443.93,440.3,442.36,388.238370940056,260081,0.0,1.0
2017-10-02,447.33,451.555,444.3,444.48,390.098994292966,418588,0.0,1.0
2017-09-29,441.51,447.1,439.67,446.3,391.696321888388,400700,0.0,1.0
2017-09-28,441.38,443.82,439.275,441.72,387.676673324084,284989,0.0,1.0
2017-09-27,434.68,443.45,430.71,441.93,387.860980354325,655060,0.0,1.0
2017-09-26,439.0,439.065,434.19,434.42,381.269809891896,412976,0.0,1.0
2017-09-25,441.84,441.99,435.9,437.21,383.718460436527,441707,0.0,1.0
2017-09-22,447.1,449.34,440.84,441.66,387.624014172586,406042,0.0,1.0
2017-09-21,449.55,450.995,446.5,446.57,391.933288070126,403942,0.0,1.0
2017-09-20,453.74,456.47,447.02,449.24,394.276620311762,1017216,0.0,1.0
2017-09-19,450.45,456.99,448.95,453.04,397.611699906599,781087,0.0,1.0
2017-09-18,456.22,457.2,449.09,450.15,395.075284109473,787633,0.0,1.0
2017-09-15,456.58,457.73,447.52,455.31,399.603971138252,1018602,0.0,1.0
2017-09-14,457.32,457.655,451.31,454.91,399.252910128269,696451,0.0,1.0
2017-09-13,468.36,468.42,457.65,458.87,402.728414127099,803026,0.0,1.0
2017-09-12,474.19,475.28,464.29,468.38,411.074889639442,447888,0.0,1.0
2017-09-11,464.52,474.71,462.45,474.42,416.375910890183,585894,0.0,1.0
2017-09-08,463.19,464.61,460.33,462.0,405.475466530215,651629,0.0,1.0
2017-09-07,464.0,468.86,462.26,464.82,407.950446650594,373431,0.0,1.0
2017-09-06,462.85,464.5099,460.74,463.52,406.80949836815,508998,0.0,1.0
2017-09-05,464.83,465.49,456.2,463.49,406.783168792401,731022,0.0,1.0
2017-09-01,468.24,469.879,464.19,465.96,408.950970529046,348119,0.0,1.0
2017-08-31,467.01,470.44,465.58,468.41,411.101219215191,456158,0.0,1.0
2017-08-30,465.77,466.79,463.43,465.67,408.696451296808,311867,0.0,1.0
2017-08-29,462.11,467.41,460.45,466.24,409.196713236034,329727,0.0,1.0
2017-08-28,467.68,468.86,460.96,462.91,406.274130327926,303540,0.0,1.0
2017-08-25,465.24,468.16,463.71,466.19,409.152830609786,428457,0.0,1.0
2017-08-24,461.93,465.89,460.64,463.53,406.8182748934,475614,0.0,1.0
2017-08-23,455.71,462.225,455.61,461.8,405.299936025224,559936,0.0,1.0
2017-08-22,450.55,457.04,448.93,456.29,400.46407061271,332882,0.0,1.0
2017-08-21,447.2,451.5,447.19,450.29,395.198155462967,300641,2.0,1.0
2017-08-18,450.96,454.29,448.3,450.0,393.197218506567,466715,0.0,1.0
2017-08-17,454.78,458.85,451.23,451.55,394.551564481423,366006,0.0,1.0
