,FTV_Open,FTV_High,FTV_Low,FTV_Close,FTV_Adj Close,FTV_Volume,FTV_Dividend Amount,FTV_Split Coefficient
2017-06-13,62.68,63.29,62.43,63.27,51.4315010426647,1013679,0.0,1.0
2017-06-12,63.04,63.345,62.1975,62.46,50.7730607732707,1138186,0.0,1.0
2017-06-09,64.0,64.0,62.56,63.09,51.2851809827994,1027121,0.0,1.0
2017-06-08,63.41,63.75,62.81,63.7,51.7810434078986,982368,0.0,1.0
2017-06-07,63.25,63.76,63.07,63.36,51.5046610725974,786002,0.0,1.0
2017-06-06,63.24,63.45,63.04,63.2,51.3745987971615,1375170,0.0,1.0
2017-06-05,63.24,63.56,63.22,63.32,51.4721455037384,839548,0.0,1.0
2017-06-02,62.9,63.83,62.845,63.41,51.5453055336711,1187665,0.0,1.0
2017-06-01,62.73,63.43,62.475,62.99,51.203892060652,1102834,0.0,1.0
2017-05-31,63.42,63.56,61.8,62.45,50.764931881056,3836831,0.0,1.0
2017-05-30,63.24,63.79,63.03,63.35,51.4965321803826,1775771,0.0,1.0
2017-05-26,63.68,63.9,63.38,63.51,51.6265944558185,1176221,0.0,1.0
2017-05-25,63.12,63.87,62.75,63.64,51.7322700546101,1039053,0.0,1.0
2017-05-24,62.74,63.22,62.63,63.08,51.2770520905846,1357922,0.07,1.0
2017-05-23,62.39,62.7,62.13,62.61,50.8385784860096,769494,0.0,1.0
2017-05-22,62.09,62.5,61.9,62.4,50.6680609731193,771709,0.0,1.0
2017-05-19,61.48,62.02,60.995,61.84,50.2133476054118,1867610,0.0,1.0
2017-05-18,60.75,61.59,60.4,61.16,49.6611956589098,1376075,0.0,1.0
2017-05-17,61.9,62.26,61.13,61.2,49.6936751851747,1233693,0.0,1.0
2017-05-16,62.45,62.45,62.05,62.33,50.6112218021558,889389,0.0,1.0
2017-05-15,62.3,62.64,62.19,62.22,50.5219031049276,981477,0.0,1.0
2017-05-12,62.44,62.528,62.0,62.18,50.4894235786628,994619,0.0,1.0
2017-05-11,62.18,62.7,62.08,62.62,50.8466983675758,587372,0.0,1.0
2017-05-10,62.53,62.81,62.24,62.57,50.8060989597447,1048462,0.0,1.0
2017-05-09,62.94,63.43,62.46,62.7,50.9116574201054,825957,0.0,1.0
2017-05-08,63.09,63.36,62.735,62.89,51.0659351698633,1791541,0.0,1.0
2017-05-05,62.86,63.16,62.48,63.14,51.2689322090184,591169,0.0,1.0
2017-05-04,62.63,63.11,62.56,62.82,51.0090959988999,819909,0.0,1.0
2017-05-03,61.95,62.72,61.78,62.67,50.8872977754068,976823,0.0,1.0
2017-05-02,61.83,62.32,61.1,62.18,50.4894235786628,1504186,0.0,1.0
2017-05-01,63.61,63.65,62.11,62.34,50.619341683722,1759094,0.0,1.0
2017-04-28,62.96,64.27,62.5,63.26,51.3663707878129,2401529,0.0,1.0
2017-04-27,62.24,63.0099,62.07,62.32,50.6031019205896,1945656,0.0,1.0
2017-04-26,62.3,62.73,62.11,62.25,50.5462627496262,1301462,0.0,1.0
2017-04-25,61.79,62.54,61.7,62.33,50.6112218021558,1383191,0.0,1.0
2017-04-24,60.79,61.54,60.68,61.43,49.8804324611974,1269327,0.0,1.0
2017-04-21,60.59,60.7,59.9748,60.01,48.7274092787963,1391290,0.0,1.0
2017-04-20,60.26,60.85,59.88,60.61,49.2146021727686,1502677,0.0,1.0
2017-04-19,60.29,60.69,59.88,60.01,48.7274092787963,1963931,0.0,1.0
2017-04-18,60.12,60.484,59.995,60.27,48.9385261995176,1562969,0.0,1.0
