,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2017-10-11,51.0,51.1,50.35,50.4,50.4,404585,0.0,1.0
2017-10-10,51.35,52.25,50.8,51.35,51.35,357082,0.0,1.0
2017-10-09,53.9,54.15,52.5,53.15,53.15,157714,0.0,1.0
2017-10-06,52.95,54.1,52.5,53.9,53.9,170817,0.0,1.0
2017-10-05,53.15,53.28,52.6,52.95,52.95,136944,0.0,1.0
2017-10-04,53.0,53.3,52.6,52.9,52.9,108231,0.0,1.0
2017-10-03,52.55,53.4,52.15,53.0,53.0,182407,0.0,1.0
2017-10-02,52.0,52.55,51.5,52.45,52.45,205903,0.0,1.0
2017-09-29,52.55,52.6,51.55,51.8,51.8,334488,0.0,1.0
2017-09-28,52.9,53.55,52.35,52.5,52.5,280575,0.0,1.0
2017-09-27,51.5,53.1,51.23,52.9,52.9,220524,0.0,1.0
2017-09-26,51.5,51.75,50.95,51.1,51.1,233601,0.0,1.0
2017-09-25,51.8,51.9,50.65,51.45,51.45,136988,0.0,1.0
2017-09-22,51.25,52.5,50.5,51.8,51.8,175667,0.0,1.0
2017-09-21,52.3,52.45,51.2,51.45,51.45,291492,0.0,1.0
2017-09-20,52.25,52.75,51.32,52.45,52.45,234967,0.0,1.0
2017-09-19,52.1,52.35,51.55,52.2,52.2,118588,0.0,1.0
2017-09-18,51.3,52.55,51.0,51.95,51.95,293339,0.0,1.0
2017-09-15,50.6,51.4,50.0,51.3,51.3,665341,0.0,1.0
2017-09-14,50.75,50.9,50.4,50.6,50.6,138605,0.0,1.0
2017-09-13,50.65,51.0,50.5,50.75,50.75,151570,0.0,1.0
2017-09-12,51.6,51.75,50.5,50.9,50.9,196649,0.0,1.0
2017-09-11,51.75,51.95,50.55,51.55,51.55,264144,0.0,1.0
2017-09-08,49.5,51.65,48.55,51.1,51.1,337708,0.0,1.0
2017-09-07,49.05,49.85,48.78,49.4,49.4,197895,0.0,1.0
2017-09-06,48.4,49.05,48.3,48.8,48.8,142797,0.0,1.0
2017-09-05,48.15,48.95,47.95,48.6,48.6,290219,0.0,1.0
2017-09-01,47.7,48.575,45.85,48.25,48.25,263781,0.0,1.0
2017-08-31,47.05,47.75,46.8,47.5,47.5,208343,0.0,1.0
2017-08-30,46.2,47.23,46.2,47.05,47.05,174602,0.0,1.0
2017-08-29,45.15,46.5,45.15,46.2,46.2,213771,0.0,1.0
2017-08-28,45.35,45.7,45.1,45.55,45.55,105287,0.0,1.0
2017-08-25,45.95,46.65,45.25,45.4,45.4,166350,0.0,1.0
